state,county,2020-01-21,2020-01-24,2020-01-27,2020-01-30,2020-02-02,2020-02-05,2020-02-08,2020-02-11,2020-02-14,2020-02-17,2020-02-20,2020-02-23,2020-02-26,2020-02-29,2020-03-03,2020-03-06,2020-03-09,2020-03-12,2020-03-15,2020-03-18,2020-03-21,2020-03-24,2020-03-27,2020-03-30,2020-04-02,2020-04-05,2020-04-08,2020-04-11
Florida,Duval,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,11,25,49,64,123,127,144,82
Maryland,Anne Arundel,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,12,8,39,47,96,113,147,149
Florida,Lee,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,6,6,17,61,75,104,104,97,122
Colorado,Adams,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,4,13,44,82,107,94,63,176
Arizona,Pima,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,7,30,60,85,50,135,92,127
New York,Ulster,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,4,9,29,51,109,36,115,64,167
Missouri,St. Louis city,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,5,57,30,114,82,146,141
Washington,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,705,-122
Alabama,Jefferson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,36,30,88,78,75,86,74,87
Colorado,El Paso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,4,29,69,54,85,95,95,37,106
Louisiana,St. John the Baptist,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,12,20,34,199,71,87,106
Washington,Yakima,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,5,11,24,28,75,69,147,37,135
Pennsylvania,Chester,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,10,21,67,39,64,59,104,159
California,Contra Costa,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,5,0,16,16,10,35,65,36,89,110,76,68
Ohio,Hamilton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,30,25,38,77,141,118,92
Texas,Fort Bend,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,17,13,59,18,75,74,149,101
Idaho,Ada,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,8,11,54,75,156,95,45,70
Kentucky,Jefferson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,4,5,14,15,36,49,124,55,98,93
New York,Putnam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,20,45,44,56,69,78,89,91
Ohio,Lucas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,7,39,64,92,96,69,119
New Jersey,Gloucester,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,13,21,49,80,79,92,147
Massachusetts,Barnstable,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,29,60,73,110,64,76,57
South Carolina,Richland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,24,17,20,70,65,98,74,107
Michigan,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,55,104,124,57,111
Minnesota,Hennepin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,21,19,51,38,49,45,32,77,120
Connecticut,Unknown,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,-2,48,144,90
New Jersey,Sussex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12,47,48,66,88,90,99
Louisiana,Lafourche,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,8,5,14,21,107,70,127,99
Texas,Denton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,19,14,99,54,63,50,94,56
Idaho,Blaine,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,16,12,66,49,203,59,18,26
New York,Albany,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,25,52,58,41,30,36,52,37,104
Florida,Pinellas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,17,16,37,47,144,86,36,51
Indiana,Hamilton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,8,15,28,53,101,93,92,51
Texas,Collin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,5,18,22,65,42,47,61,110,63
South Dakota,Minnehaha,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,13,10,26,50,124,210
Tennessee,Sumner,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,23,24,106,104,53,55,59
Colorado,Eagle,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,13,15,35,22,74,43,101,25,35,59
Alabama,Mobile,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,17,22,24,58,122,180
Oklahoma,Oklahoma,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,13,6,21,53,40,82,49,52,108
North Carolina,Wake,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,2,6,3,32,5,67,45,68,70,59,61
New Mexico,Bernalillo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,7,15,11,39,35,46,83,79,97
Louisiana,Ascension,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,24,54,63,48,85,80,49
Delaware,Sussex,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,15,15,43,24,46,128,125
Louisiana,St. Charles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,4,8,8,13,144,80,68,73
Pennsylvania,Lackawanna,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,20,27,46,64,94,126
Virginia,Prince William,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,10,9,21,35,38,58,88,127
Nevada,Washoe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,3,10,22,31,46,42,101,62,63
Connecticut,Litchfield,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,6,11,30,61,28,56,95,96
New York,Onondaga,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15,43,55,65,121,48,28,3
Illinois,Kane,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,4,16,53,36,41,66,76,80
Ohio,Mahoning,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,14,40,49,75,69,44,70
California,Kern,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,27,35,79,70,84,60
Virginia,Henrico,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,7,14,16,43,107,97,77
New Hampshire,Hillsborough,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,4,8,23,48,72,86,54,64
New Jersey,Warren,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,10,23,30,48,79,94,73
Louisiana,St. Bernard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,9,7,12,22,128,61,62,54
Texas,Galveston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,10,31,43,38,110,47,68
Florida,Collier,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,8,15,13,44,42,51,53,51,70
Maryland,Howard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,11,32,34,56,47,75,77
Vermont,Chittenden,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,11,18,50,43,44,94,53,27
Louisiana,Ouachita,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,18,19,50,88,93,75
Virginia,Arlington,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,6,8,14,27,23,42,53,73,95
Hawaii,Honolulu,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,6,25,23,29,52,67,75,47,20
Oregon,Multnomah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,15,7,42,33,60,73,53,57
Maryland,Frederick,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,11,11,19,67,87,142
New York,Sullivan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,18,34,37,55,78,45,61
Georgia,Clayton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,6,9,32,9,103,73,51,50
Louisiana,Lafayette,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,32,38,165,0,38,52
Massachusetts,Berkshire,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,8,4,16,68,57,51,45,23,55
South Carolina,Charleston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,5,27,56,31,108,43,34,23
Oregon,Washington,,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,6,2,3,10,19,34,46,46,43,48,36,35
Wisconsin,Dane,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,17,26,23,86,25,45,41,33,25
South Carolina,Greenville,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,14,22,12,37,66,32,37,102
Oklahoma,Tulsa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,7,37,16,86,89,53,30
Arizona,Navajo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,22,17,39,41,66,45,81
Missouri,St. Charles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,28,24,49,52,97,66
Louisiana,Tangipahoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,11,24,129,98,49
Florida,Osceola,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,13,5,30,38,76,59,48,40
Kansas,Wyandotte,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,8,9,21,24,39,55,84,70
New Hampshire,Rockingham,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,6,8,8,17,33,41,54,60,38,46
Tennessee,Williamson,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,6,10,23,17,27,20,88,59,29,25
